rules,support,confidence,lift
{来料加} => {来料加工},0.026990553,0.952380952,35.28571429
{来料加} => {料加工},0.026990553,0.952380952,16.41196013
{来料加} => {加工},0.026990553,0.952380952,13.57142857
"{关税,税问题} => {关税问题}",0.024291498,0.947368421,39
"{关税,税问题} => {关税问}",0.024291498,0.947368421,39
{进口许可} => {许可证},0.013495277,0.909090909,32.07792208
{口货物} => {进口货物},0.04048583,0.909090909,22.45454545
{口货物} => {进口货},0.04048583,0.909090909,18.20638821
"{货物,口货物} => {进口货物}",0.04048583,0.909090909,22.45454545
"{货物,口货物} => {进口货}",0.04048583,0.909090909,18.20638821
{进料} => {进料加工},0.039136302,0.90625,23.15625
{进料} => {进料加},0.039136302,0.90625,23.15625
{进料} => {料加工},0.039136302,0.90625,15.61700581
{进料} => {加工},0.039136302,0.90625,12.9140625
{加工} => {料加工},0.05802969,0.826923077,14.25
{进口货} => {进口货物},0.04048583,0.810810811,20.02702703
{进口货} => {口货物},0.04048583,0.810810811,18.20638821
{进口货} => {货物},0.04048583,0.810810811,10.92383292
"{核销,进口付} => {口付汇}",0.005398111,0.8,25.77391304
"{核销,进口付} => {进口付汇}",0.005398111,0.8,25.77391304
"{核销,进口付} => {付汇}",0.005398111,0.8,13.17333333
{进口付} => {口付汇},0.031039136,0.766666667,24.7
{进口付} => {进口付汇},0.031039136,0.766666667,24.7
{进口付} => {付汇},0.031039136,0.766666667,12.62444444
{料加工} => {进料加工},0.039136302,0.674418605,17.23255814
{料加工} => {进料加},0.039136302,0.674418605,17.23255814
{料加工} => {进料},0.039136302,0.674418605,15.61700581
"{加工,料加工} => {进料加工}",0.039136302,0.674418605,17.23255814
"{加工,料加工} => {进料加}",0.039136302,0.674418605,17.23255814
"{加工,料加工} => {进料}",0.039136302,0.674418605,15.61700581
{清关问题} => {进口清},0.010796221,0.666666667,24.7
{清关问题} => {进口清关},0.010796221,0.666666667,24.7
"{关税,税的问题} => {口关税}",0.002699055,0.666666667,13.72222222
